Staff Number,JOB TITLE,DEPARTMENT
BAYN00058,Quality Controller,Manufacturing- Machines Assembly
BAYN00048,Regional Sales Manager,Sales- Machines Sales & After Sales
BAYN00047,Senior PRO,Office Facilities & Administration
BAYN00036,Marketing Executive,Marketing
BAYN00006,Marketing Director,Marketing
BAYN00023,Quality Coordinator,Manufacturing: Factory
BAYN00033,Maintenance Technician,Sales- Machines Sales & After Sales
BAYN00017,Key Account Manager,Sales: Bottled/Canned Water
BAYN00044,IT Support Officer,IT
BAYN00013,Warehouse Officer,Manufacturing: Logistics & Warehouse
BAYN00064,Marketing Specialist,Marketing
BAYN00041,Manager- Accounting and Control,Finance
BAYN00046,Sales Director,Sales: Bottled/Canned Water
BAYN00039,Marketing Operations Executive,Marketing
BAYN00025,Maintenance Supervisor,Sales- Machines Sales & After Sales
BAYN00004,Administrative Assistant,Sales- Machines Sales & After Sales
BAYN00060,Sales and Customer Support Admin,Sales: Bottled/Canned Water
BAYN00014,Manufacturing Director,Manufacturing
BAYN00003,CEO,Management
BAYN00018,Sales Supervisor,Sales: Bottled/Canned Water
BAYN00009,Logistic Coordinator,Manufacturing: Logistics & Warehouse
BAYN00008,Human Resource Specialist,HR
BAYN00019,Executive Assistant,Office Facilities & Administration
BAYN00051,Maintenance Technician,Sales- Machines Sales & After Sales
BAYN00045,Merchandiser,Sales: Bottled/Canned Water
BAYN00038,Driver,Office Facilities & Administration
BAYN00002,Regional Director- Sales & Aftersales,Sales- Machines Sales & After Sales
BAYN00075,Mechanical Technician,Manufacturing: Factory
BAYN00074,Team Leader- Operations,Manufacturing: Factory
BAYN00049,Accounting Associate,Finance
BAYN00076,Sales Manager,Sales: Bottled/Canned Water
TEMP1399,Executive Assistant,Office Facilities & Administration
TEMPS0101,Marketing Operations Executive,Marketing
